song,moods,arousal,valence
/Users/jsgomezc/Data/psilocybin/audio/imperial2/04-0OKTncLPYRbiiRGPHMwVj7- Antonymes - 301210.mp3,"['calm', 'emotional', 'film', 'hopeful', 'inspiring', 'love', 'meditative', 'melancholic', 'nature', 'relaxing', 'romantic', 'sad', 'soft']",2.3414218425750732,4.155144691467285
/Users/jsgomezc/Data/psilocybin/audio/imperial2/30-1cgG82O5BLN5UGRYmjQ4CP- Axiom Of Choice - Evanescent.mp3,"['calm', 'documentary', 'drama', 'dream', 'emotional', 'epic', 'film', 'hopeful', 'meditative', 'melancholic', 'movie', 'nature', 'relaxing', 'sad', 'soft', 'soundscape']",2.8373475074768066,3.799344062805176
/Users/jsgomezc/Data/psilocybin/audio/imperial2/23-0aNwdVJmeq9CSCEPsyCvXP- Joep Beving - The Gift.mp3,"['drama', 'dream', 'emotional', 'film', 'hopeful', 'meditative', 'melancholic', 'melodic', 'nature', 'relaxing', 'romantic', 'sad', 'soft', 'soundscape', 'space']",3.454195499420166,3.9469921588897705
"/Users/jsgomezc/Data/psilocybin/audio/imperial2/13-0nGocN7KXiRKmwxqObvlse- Ólafur Arnalds, Alice Sara Ott - Written In Stone.mp3","['calm', 'drama', 'dream', 'emotional', 'film', 'hopeful', 'meditative', 'melancholic', 'nature', 'relaxing', 'romantic', 'sad', 'soft', 'soundscape', 'space']",2.4054479598999023,3.5182759761810303
"/Users/jsgomezc/Data/psilocybin/audio/imperial2/24-2e4KeWR0Ym9CTBrSG08FSc- Hafez Nazeri, Shahram Nazeri, Paul Neubauer, Matt Haimovitz, Glen Velez - Existence- Life.mp3","['calm', 'drama', 'dream', 'emotional', 'epic', 'hopeful', 'inspiring', 'meditative', 'melancholic', 'nature', 'relaxing', 'romantic', 'sad', 'soft', 'soundscape']",2.7746896743774414,3.7288830280303955
/Users/jsgomezc/Data/psilocybin/audio/imperial2/09-2fpDNh4xrSp3A7qcV62SQB- Stephan Micus - Darkness And Light (Part 1).mp3,"['dark', 'documentary', 'drama', 'dream', 'emotional', 'meditative', 'melancholic', 'nature', 'relaxing', 'sad', 'slow', 'soundscape', 'space']",2.7683157920837402,3.2324066162109375
/Users/jsgomezc/Data/psilocybin/audio/imperial2/01-6A0aKATdJ9ogPZhkd01viW- Ex Confusion - One of Us.mp3,"['calm', 'dream', 'emotional', 'meditative', 'nature', 'relaxing', 'romantic', 'sad', 'slow', 'soft', 'soundscape', 'space']",1.9916925430297852,3.2847530841827393
/Users/jsgomezc/Data/psilocybin/audio/imperial2/21-7KrwbYRbk76R3Pc8NFNJi1- Stephan Micus - Part 4 To The Evening Child.mp3,"['ballad', 'christmas', 'drama', 'holiday', 'love', 'melancholic', 'romantic', 'sad', 'slow', 'soft']",3.208803176879883,3.740582227706909
/Users/jsgomezc/Data/psilocybin/audio/imperial2/31-5M86CqnK2HQ0MufL5xPEok- Max Richter - I Will Not Forget You.mp3,"['calm', 'cool', 'dream', 'emotional', 'hopeful', 'inspiring', 'meditative', 'melancholic', 'nature', 'relaxing', 'sad', 'soft', 'soundscape', 'space']",3.1112561225891113,4.205558776855469
/Users/jsgomezc/Data/psilocybin/audio/imperial2/16-6CafGWguMNmZdsoF2fTpcT- Ravid - Calm Upon You.mp3,"['calm', 'drama', 'dream', 'emotional', 'hopeful', 'inspiring', 'meditative', 'melancholic', 'nature', 'relaxing', 'romantic', 'sad', 'soft']",2.8303308486938477,3.96976900100708
/Users/jsgomezc/Data/psilocybin/audio/imperial2/17-1kuvlhyJh2POUSkUZ3zfak- Ulla Pirttijärvi - Boares Gietkka  Lullaby.mp3,"['ballad', 'calm', 'drama', 'dream', 'emotional', 'love', 'meditative', 'melancholic', 'nature', 'relaxing', 'sad', 'soft']",2.9336743354797363,3.5570387840270996
/Users/jsgomezc/Data/psilocybin/audio/imperial2/18-3j7nscIvPyOALkbsCa8Lgi-Ulla Pirttijärvi-Jearrat Biekkas  Questions In The Wind.mp3,"['calm', 'drama', 'dream', 'emotional', 'inspiring', 'meditative', 'melancholic', 'nature', 'relaxing', 'sad', 'soft']",2.7183432579040527,3.3837802410125732
/Users/jsgomezc/Data/psilocybin/audio/imperial2/06-2BHC4LKFQT3Htb2DBuk10v- Smoky - Little Boat on the Ocean at Night.mp3,"['calm', 'drama', 'dream', 'emotional', 'film', 'meditative', 'melancholic', 'nature', 'relaxing', 'romantic', 'sad', 'soft', 'soundscape']",2.3446483612060547,3.0542876720428467
"/Users/jsgomezc/Data/psilocybin/audio/imperial2/10-25CNMX6iWYN9Dgpu69mnvi- David Darling, Eve Kodiak - Mystery.mp3","['calm', 'drama', 'dream', 'emotional', 'film', 'inspiring', 'meditative', 'melancholic', 'nature', 'relaxing', 'sad', 'soft']",2.5448689460754395,3.420609474182129
/Users/jsgomezc/Data/psilocybin/audio/imperial2/32-0OIeWEFxHeMDz8QkYIRdgQ- Ex Confusion - Embrace.mp3,"['calm', 'dream', 'meditative', 'nature', 'relaxing', 'sad', 'soft', 'soundscape', 'space']",2.237292528152466,3.189610242843628
"/Users/jsgomezc/Data/psilocybin/audio/imperial2/22-5Z1HyqdD5QozNnFNZA8BMK- Laraaji, Brian Eno - Meditation No. 2.mp3","['calm', 'documentary', 'drama', 'emotional', 'film', 'meditative', 'melancholic', 'movie', 'nature', 'relaxing', 'romantic', 'sad', 'soft']",2.7864794731140137,3.553978443145752
"/Users/jsgomezc/Data/psilocybin/audio/jh_classical/01-4eUx0OcPvuSN9ioZ2CSzHg- Antonio Vivaldi, Celin Romero, Academy of St. Martin in the Fields, Iona Brown - Concerto for Lute, 2 Violins and Continuo in D Major, RV 93- II. Largo.mp3","['calm', 'christmas', 'emotional', 'film', 'holiday', 'hopeful', 'love', 'meditative', 'melancholic', 'nature', 'relaxing', 'romantic', 'sad', 'soft']",3.024489641189575,3.887122869491577
"/Users/jsgomezc/Data/psilocybin/audio/jh_classical/23-2fmpmmrbsZTfwqynpBLvUd- Gabriel Fauré, Orchestre & Chorale Paul Kuentz, Barbara Schlick, Philip Langshaw - Requiem, Op. 48- In Paradisum.mp3","['ballad', 'drama', 'emotional', 'film', 'love', 'meditative', 'melancholic', 'nature', 'relaxing', 'romantic', 'sad', 'soft']",3.2188351154327393,4.072154521942139
/Users/jsgomezc/Data/psilocybin/audio/jh_classical/36-4epHcRe8RqMbs3cTrOzabf-Joseph CanteloubePatricia RozarioSir John PritchardPhilharmonia Orchestra-Songs of the Auvergne  Pour lenfant.mp3,"['ballad', 'christmas', 'drama', 'emotional', 'love', 'meditative', 'melancholic', 'nature', 'relaxing', 'romantic', 'sad', 'soft']",3.3249456882476807,4.259603500366211
"/Users/jsgomezc/Data/psilocybin/audio/jh_classical/02-7cVxHX7wFEdXwIzdD9tPCO- Antonio Vivaldi, Angel Romero, Academy of St. Martin in the Fields, Iona Brown - 12 Concertos, Op. 3 'L'estro armonico'  Concerto No. 6 in A Minor for Violin, RV 356- II. Largo.mp3","['adventure', 'documentary', 'drama', 'dramatic', 'dream', 'emotional', 'film', 'meditative', 'melancholic', 'movie', 'nature', 'sad', 'soft']",2.949636936187744,3.5232129096984863
"/Users/jsgomezc/Data/psilocybin/audio/jh_classical/20-6yVZlEWuDCbTbQtsb7YhjE- Johannes Brahms, Karl Böhm, Wolfgang Schneiderhan - Concerto for Violin and Orchestra In D Major, Op. 77 - II. Adagio.mp3","['drama', 'emotional', 'film', 'meditative', 'melancholic', 'nature', 'relaxing', 'romantic', 'sad', 'soft']",3.069672107696533,3.5589466094970703
"/Users/jsgomezc/Data/psilocybin/audio/jh_classical/37-2r0k4G7UyzMwqRby7AVOEu- Richard Strauss, Slovak Philharmonic, Zdeněk Košler - Tod und Verklarung (Death and Transfiguration), Op. 24, TrV 158.mp3","['adventure', 'documentary', 'drama', 'dramatic', 'dream', 'emotional', 'film', 'meditative', 'melancholic', 'nature', 'relaxing', 'sad']",3.435028076171875,3.8784525394439697
/Users/jsgomezc/Data/psilocybin/audio/jh_classical/05-53DoblJMitL30jWkUImmD7- Ron Korb - Flute Traveller.mp3,"['calm', 'drama', 'dream', 'emotional', 'film', 'meditative', 'melancholic', 'nature', 'relaxing', 'romantic', 'sad', 'soft', 'soundscape']",2.649183750152588,3.164102792739868
/Users/jsgomezc/Data/psilocybin/audio/jh_classical/48-29U7stRjqHU6rMiS8BfaI9- Louis Armstrong - What A Wonderful World.mp3,"['documentary', 'drama', 'dramatic', 'emotional', 'film', 'meditative', 'melancholic', 'movie', 'nature', 'relaxing', 'sad', 'soft']",2.966667890548706,3.217491388320923
