#,playlist,Song,Artist,Time,BPM,Genres,Parent Genres,Album,Album Date,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC,Duration (s),Duration (m),Duration,phase,process?,link
8,copenhagen,Tundra,"Ola Gjeilo,Tenebrae,Thomas Gould,Ciaran McCabe,Jon Thorne,Matthew Sharp",3:35,71,"choral, requiem, gregorian chant",Classical,Ola Gjeilo,4/1/16,17,11,98,85,4,0,10,-19,A#/B♭ Major,4,1/30/21,23pA44aBQ9IOcZuXPUxJIA,Universal Music Group,6B,GBF071504160,216,3.600,0:03:36,onset,FALSE,https://open.spotify.com/track/23pA44aBQ9IOcZuXPUxJIA
9,copenhagen,Lauridsen: O Magnum Mysterium,"Robert Shaw,Robert Shaw Chamber Singers",6:17,71,"sea shanties, choral, christmas","Classical, Jazz, Metal",A Robert Shaw Christmas: Angels On High,1/1/97,16,2,99,88,4,0,0,-30,D Major,1,4/20/21,13o0bDRuAKiQrFQZnkTyup,Telarc,10B,USTE10307461,377,6.283,0:06:17,onset,TRUE,https://open.spotify.com/track/13o0bDRuAKiQrFQZnkTyup
10,copenhagen,"Elgar: Variations on an Original Theme, Op. 36  Enigma : Variation IX. Adagio  Nimrod","Edward Elgar,Royal Philharmonic Orchestra,Philip Ellis",3:46,112,"classical, orchestra, symphonic rock","Classical, Rock",Last Night of the Proms,8/3/07,17,10,90,92,4,0,10,-20,D#/E♭ Major,4,1/30/21,5t9UkwkrumEmOpnz3SRdbm,Warner Classics,5B,GB01A0700647,226,3.767,0:03:46,onset,TRUE,https://open.spotify.com/track/5t9UkwkrumEmOpnz3SRdbm
11,copenhagen,"Symphony No. 3, Op. 36: I. Lento - Sostenuto Tranquillo Ma Cantabile","Henryk Górecki,Dawn Upshaw,London Sinfonietta,David Zinman",26:47:00,93,"minimalism, classical, opera, chamber music",Classical,Górecki: Symphony No. 3,3/9/92,11,12,55,77,3,0,20,-19,E Minor,4,1/30/21,7Mx00Ye1ypcK1hToeKyrVl,Nonesuch,9A,USN 19228201.00,1607,26.783,0:26:47,onset,TRUE,https://open.spotify.com/track/7Mx00Ye1ypcK1hToeKyrVl
12,copenhagen,Hymn of the Cherubim,USSR Ministry of Culture Chamber Choir,7:35,76,"choral, gregorian chant",Classical,Hearts of Space: Universe 5,4/20/99,14,11,99,96,3,0,10,-22,D#/E♭ Minor,4,3/18/21,12zGav4UDhMJ9l7vzfVOLJ,Hearts of Space Records,2A,USAKS0501619,456,7.600,0:07:36,peak,TRUE,https://open.spotify.com/track/12zGav4UDhMJ9l7vzfVOLJ
13,copenhagen,"Stabat Mater, FP 148: I. Stabat mater dolorosa","Francis Poulenc,Cappella Amsterdam,Estonian Philharmonic Chamber Choir,Estonian National Symphony Orchestra,Daniel Reuss",4:50,72,"neoclassical, classical, choral, minimalism, orchestra",Classical,Poulenc: Stabat Mater; 7 Répons des Ténèbres,3/10/14,7,10,96,94,4,0,0,-24,A Minor,1,9/17/21,5M6rIlwFUKvD9OxpmpqOdx,harmonia mundi,8A,FRZ141213080,290,4.833,0:04:50,peak,TRUE,https://open.spotify.com/track/5M6rIlwFUKvD9OxpmpqOdx
14,copenhagen,Pärt: Cantus in memoriam Benjamin Britten,"Arvo Pärt,Paavo Järvi,Estonian National Symphony Orchestra",6:48,114,"minimalism, classical, orchestra, requiem",Classical,The Very Best of Arvo Part,8/9/10,17,14,58,84,3,0,30,-20,F Major,3,2/14/21,0jlN7m3x57m1JYQcWOmsa2,Warner Classics,7B,GBAYC0003352,409,6.817,0:06:49,peak,TRUE,https://open.spotify.com/track/0jlN7m3x57m1JYQcWOmsa2
15,copenhagen,Sacred Words Of Liberation,"Lama Gyurme,Jean-Philippe Rykiel",5:32,62,,,Roads Of Blessings - Songs Of Awakening,5/23/10,6,25,93,90,5,0,0,-18,G#/A♭ Major,3,1/30/21,1TWWFCKcfuio8I9u7T6Yzs,Last call records,4B,FR6V89400007,330,5.500,0:05:30,peak,TRUE,https://open.spotify.com/track/1TWWFCKcfuio8I9u7T6Yzs
16,copenhagen,Feel First Life,Jon Hopkins,5:33,71,"idm, ambient",Electronic,Singularity,5/4/18,18,9,96,95,3,0,0,-22,C♯/D♭ Major,4,9/7/21,4esxro8J1rbsalCPb0yrgC,Domino Recording Co,3B,GBCEL1700695,333,5.550,0:05:33,peak,TRUE,https://open.spotify.com/track/4esxro8J1rbsalCPb0yrgC
17,copenhagen,"Komm, süsser Tod, BWV 478 (Arr. L. Stokowski for Orchestra)","Johann Sebastian Bach,Orchestre Métropolitain,Yannick Nézet-Séguin",4:59,78,"classical, classical piano, opera, orchestra",Classical,"Komm, süsser Tod, BWV 478 (Arr. L. Stokowski for Orchestra)",9/9/16,13,2,91,92,4,0,10,-29,C Minor,3,1/30/21,5JrFL8Xiv5V0G33DIK8v3p,ATMA Classique,5A,CAJ721670805,299,4.983,0:04:59,peak,TRUE,https://open.spotify.com/track/5JrFL8Xiv5V0G33DIK8v3p
